timestamp,project_root,target_class,line_coverage_pct,mutation_score_pct,flaky_count,total_generated_tests,flaky_rate_pct,pit_path,jacoco_path,idflakies_candidates
2025-11-21T02:18:20.177495Z,/home/wangjeffrey4/commons-cli,DefaultParser,49.33,56.67,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,                                                                          
2025-11-21T02:20:17.500378Z,/home/wangjeffrey4/commons-cli,Option,62.84,87.1,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T02:28:10.295709Z,/home/wangjeffrey4/commons-cli,Options,97.18,58.82,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T02:31:01.827278Z,/home/wangjeffrey4/commons-cli,org.apache.commons.cli.HelpFormatter,78.05,45.21,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T02:42:18.969732Z,/home/wangjeffrey4/commons-cli,CommandLine,87.77,79.09,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T02:45:31.204233Z,/home/wangjeffrey4/commons-cli,DefaultParser,55.56,53.85,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T03:00:34.990622Z,/home/wangjeffrey4/commons-cli,Option,63.51,90.16,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T05:28:44.145486Z,/home/wangjeffrey4/commons-cli,Options,98.59,64.71,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T05:32:14.754678Z,/home/wangjeffrey4/commons-cli,org.apache.commons.cli.HelpFormatter,81.71,45.36,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T05:43:31.847855Z,/home/wangjeffrey4/commons-cli,CommandLine,89.21,76.79,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T05:44:57.830786Z,/home/wangjeffrey4/commons-cli,DefaultParser,52.44,62.77,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T05:48:37.344076Z,/home/wangjeffrey4/commons-cli,Option,60.14,85.0,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T05:56:35.874194Z,/home/wangjeffrey4/commons-cli,Options,97.18,55.88,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
2025-11-21T06:01:50.839931Z,/home/wangjeffrey4/commons-cli,org.apache.commons.cli.HelpFormatter,78.05,45.16,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,2025-11-21T21:59:17.951505Z,/home/wangjeffrey4/commons-cli,DefaultParser,0.0,54.02,,,,/home/wangjeffrey4/commons-cli/target/pit-reports/mutations.xml,/home/wangjeffrey4/commons-cli/target/site/jacoco/jacoco.csv,
